Date,AQI_Forecast
2023-12-03 00:00:00,212.15045906232152
2023-12-03 00:15:00,218.89455127883156
2023-12-03 00:30:00,215.2572519598208
2023-12-03 00:45:00,216.8183891157215
2023-12-03 01:00:00,211.66694447370338
2023-12-03 01:15:00,209.09837119031644
2023-12-03 01:30:00,204.51460306253483
2023-12-03 01:45:00,197.66858337662111
2023-12-03 02:00:00,195.85867461199473
2023-12-03 02:15:00,192.3872735678224
2023-12-03 02:30:00,186.4734091951615
2023-12-03 02:45:00,182.9876947009877
2023-12-03 03:00:00,186.34074843483995
2023-12-03 03:15:00,181.69538984197604
2023-12-03 03:30:00,175.8521156509149
2023-12-03 03:45:00,180.22280362393215
2023-12-03 04:00:00,172.4682113963506
2023-12-03 04:15:00,173.20625163028532
2023-12-03 04:30:00,169.8431682452488
2023-12-03 04:45:00,164.7398271100012
2023-12-03 05:00:00,157.64900091143002
2023-12-03 05:15:00,163.400212469265
2023-12-03 05:30:00,162.28849290364622
2023-12-03 05:45:00,162.7995522060304
2023-12-03 06:00:00,162.05883640063283
2023-12-03 06:15:00,161.40145878783838
2023-12-03 06:30:00,154.6930363952233
2023-12-03 06:45:00,157.38529022579175
2023-12-03 07:00:00,162.19959241612474
2023-12-03 07:15:00,159.93946699513813
2023-12-03 07:30:00,166.1845680975666
2023-12-03 07:45:00,173.29287889124296
2023-12-03 08:00:00,177.9677289853932
2023-12-03 08:15:00,180.50981810839696
2023-12-03 08:30:00,175.30310691771894
2023-12-03 08:45:00,184.4498356278059
2023-12-03 09:00:00,184.78220988417164
2023-12-03 09:15:00,183.7015784520839
2023-12-03 09:30:00,177.6824148846716
2023-12-03 09:45:00,174.5861118098416
2023-12-03 10:00:00,171.76419443267247
2023-12-03 10:15:00,172.26657674852729
2023-12-03 10:30:00,175.84644041286592
2023-12-03 10:45:00,178.5974727118263
2023-12-03 11:00:00,170.23034367202558
2023-12-03 11:15:00,182.15480421823963
2023-12-03 11:30:00,178.74302703079556
2023-12-03 11:45:00,169.29367578111282
2023-12-03 12:00:00,169.3296063607581
2023-12-03 12:15:00,174.58050841892933
2023-12-03 12:30:00,176.77945600871954
2023-12-03 12:45:00,180.44549258843216
2023-12-03 13:00:00,174.275036451203
2023-12-03 13:15:00,177.70264357505215
2023-12-03 13:30:00,179.989021100459
2023-12-03 13:45:00,185.48485141778502
2023-12-03 14:00:00,188.27056138656874
2023-12-03 14:15:00,192.67842645194986
2023-12-03 14:30:00,205.16222328038805
2023-12-03 14:45:00,200.72026002705465
2023-12-03 15:00:00,207.36103482254282
2023-12-03 15:15:00,207.2934454593732
2023-12-03 15:30:00,214.07381104294583
2023-12-03 15:45:00,210.25602022100466
2023-12-03 16:00:00,214.42896443271917
2023-12-03 16:15:00,215.28784798114083
2023-12-03 16:30:00,212.78576900290784
2023-12-03 16:45:00,213.72775032732235
2023-12-03 17:00:00,211.44650106455452
2023-12-03 17:15:00,213.7292392837666
2023-12-03 17:30:00,212.95817139974588
2023-12-03 17:45:00,213.49860226857234
2023-12-03 18:00:00,209.32163322970638
2023-12-03 18:15:00,203.6651801220244
2023-12-03 18:30:00,203.66658128197327
2023-12-03 18:45:00,201.73914140408542
2023-12-03 19:00:00,210.3796668816831
2023-12-03 19:15:00,202.41256149715073
2023-12-03 19:30:00,200.11407383775824
2023-12-03 19:45:00,195.46418153607897
2023-12-03 20:00:00,193.0281465439317
2023-12-03 20:15:00,195.97546676032738
2023-12-03 20:30:00,188.0081664717326
2023-12-03 20:45:00,181.44289020014807
2023-12-03 21:00:00,187.22811130633423
2023-12-03 21:15:00,186.41958530138382
2023-12-03 21:30:00,184.55755860380458
2023-12-03 21:45:00,182.94738765582977
2023-12-03 22:00:00,182.03884298998204
2023-12-03 22:15:00,188.86820071019352
2023-12-03 22:30:00,194.12563975980015
2023-12-03 22:45:00,191.7949937712529
2023-12-03 23:00:00,194.8697045010404
2023-12-03 23:15:00,200.99296304300813
2023-12-03 23:30:00,207.10927069383823
2023-12-03 23:45:00,208.43994939389117
